,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.3549034361675445,f1,1.8800632953643799,291.78080892562866,0.004002571105957031,3.5282931327819824,2,True,81
1,NeuralNetFastAI_r11_BAG_L1,0.34071024189397836,f1,0.7160577774047852,79.06685519218445,0.7160577774047852,79.06685519218445,1,True,34
2,NeuralNetFastAI_r156_BAG_L1,0.3380150899593732,f1,0.22385740280151367,11.707429885864258,0.22385740280151367,11.707429885864258,1,True,43
3,NeuralNetFastAI_r134_BAG_L1,0.33716300762143103,f1,0.5143449306488037,33.04317617416382,0.5143449306488037,33.04317617416382,1,True,59
4,NeuralNetFastAI_r65_BAG_L1,0.33608815426997246,f1,0.21612071990966797,12.08695387840271,0.21612071990966797,12.08695387840271,1,True,67
5,NeuralNetFastAI_BAG_L1,0.3130022394941378,f1,0.3065683841705322,16.63422703742981,0.3065683841705322,16.63422703742981,1,True,10
6,NeuralNetFastAI_r103_BAG_L1,0.30164563029237895,f1,0.3377523422241211,34.350876331329346,0.3377523422241211,34.350876331329346,1,True,38
7,NeuralNetFastAI_r191_BAG_L1,0.2996760259179266,f1,0.5265524387359619,39.50384712219238,0.5265524387359619,39.50384712219238,1,True,17
8,NeuralNetFastAI_r111_BAG_L1,0.2866496907966533,f1,0.23645472526550293,14.015387296676636,0.23645472526550293,14.015387296676636,1,True,64
9,NeuralNetFastAI_r145_BAG_L1,0.2780022628091159,f1,0.6060748100280762,39.3897602558136,0.6060748100280762,39.3897602558136,1,True,28
10,NeuralNetTorch_r197_BAG_L1,0.26995179432244243,f1,0.1852707862854004,38.40885877609253,0.1852707862854004,38.40885877609253,1,True,54
11,NeuralNetFastAI_r37_BAG_L1,0.2658252810096628,f1,0.30740880966186523,16.865541458129883,0.30740880966186523,16.865541458129883,1,True,53
12,NeuralNetTorch_r86_BAG_L1,0.2656482861400894,f1,0.22299718856811523,91.56686305999756,0.22299718856811523,91.56686305999756,1,True,32
13,NeuralNetTorch_BAG_L1,0.261132882080513,f1,0.20567989349365234,152.34810066223145,0.20567989349365234,152.34810066223145,1,True,12
14,NeuralNetTorch_r14_BAG_L1,0.2591078727563533,f1,0.17785167694091797,69.65686559677124,0.17785167694091797,69.65686559677124,1,True,39
15,NeuralNetFastAI_r88_BAG_L1,0.2521042084168337,f1,0.20640206336975098,15.74862003326416,0.20640206336975098,15.74862003326416,1,True,68
16,NeuralNetFastAI_r102_BAG_L1,0.2497376705141658,f1,0.21389245986938477,9.999170064926147,0.21389245986938477,9.999170064926147,1,True,24
17,NeuralNetTorch_r79_BAG_L1,0.24889571730362972,f1,0.20935702323913574,138.39605259895325,0.20935702323913574,138.39605259895325,1,True,15
18,NeuralNetTorch_r22_BAG_L1,0.2481100988563675,f1,0.24618792533874512,171.49260640144348,0.24618792533874512,171.49260640144348,1,True,20
19,NeuralNetFastAI_r95_BAG_L1,0.24770290964777947,f1,0.5374009609222412,48.760794162750244,0.5374009609222412,48.760794162750244,1,True,47
20,NeuralNetTorch_r71_BAG_L1,0.247287756156363,f1,0.18504762649536133,46.00116562843323,0.18504762649536133,46.00116562843323,1,True,73
21,NeuralNetTorch_r31_BAG_L1,0.24662099611183114,f1,0.20167016983032227,92.83400011062622,0.20167016983032227,92.83400011062622,1,True,65
22,NeuralNetTorch_r185_BAG_L1,0.24539877300613497,f1,0.2186586856842041,69.71751666069031,0.2186586856842041,69.71751666069031,1,True,78
23,NeuralNetTorch_r30_BAG_L1,0.23701505193979225,f1,0.24921655654907227,109.13946437835693,0.24921655654907227,109.13946437835693,1,True,30
24,NeuralNetTorch_r143_BAG_L1,0.22496214579277526,f1,0.2587878704071045,237.10673356056213,0.2587878704071045,237.10673356056213,1,True,62
25,NeuralNetTorch_r41_BAG_L1,0.19818961410195332,f1,0.18413329124450684,78.57208228111267,0.18413329124450684,78.57208228111267,1,True,48
26,NeuralNetTorch_r87_BAG_L1,0.17665615141955837,f1,0.1963942050933838,68.49056434631348,0.1963942050933838,68.49056434631348,1,True,72
27,NeuralNetTorch_r158_BAG_L1,0.13452414178063077,f1,0.2279210090637207,70.80594301223755,0.2279210090637207,70.80594301223755,1,True,51
28,XGBoost_BAG_L1,0.11101216978331849,f1,0.32257676124572754,11.565785884857178,0.32257676124572754,11.565785884857178,1,True,11
29,XGBoost_r194_BAG_L1,0.10683760683760683,f1,0.2646443843841553,13.489466905593872,0.2646443843841553,13.489466905593872,1,True,35
30,XGBoost_r89_BAG_L1,0.10494388838337883,f1,0.3375368118286133,9.972514629364014,0.3375368118286133,9.972514629364014,1,True,29
31,LightGBM_r130_BAG_L1,0.08939250865596475,f1,0.4997100830078125,9.777595281600952,0.4997100830078125,9.777595281600952,1,True,31
32,NeuralNetFastAI_r160_BAG_L1,0.08720379146919431,f1,0.6046860218048096,36.162612199783325,0.6046860218048096,36.162612199783325,1,True,79
33,XGBoost_r49_BAG_L1,0.0866540164452878,f1,0.5342299938201904,14.828234195709229,0.5342299938201904,14.828234195709229,1,True,70
34,LightGBM_BAG_L1,0.08391608391608392,f1,0.27365589141845703,6.628941774368286,0.27365589141845703,6.628941774368286,1,True,4
35,NeuralNetFastAI_r143_BAG_L1,0.06729213846651569,f1,0.20099115371704102,14.010771751403809,0.20099115371704102,14.010771751403809,1,True,41
36,LightGBMXT_BAG_L1,0.06707912732009118,f1,0.28306102752685547,6.024229288101196,0.28306102752685547,6.024229288101196,1,True,3
37,LightGBMLarge_BAG_L1,0.060026385224274406,f1,0.33748626708984375,11.360374689102173,0.33748626708984375,11.360374689102173,1,True,13
38,LightGBM_r143_BAG_L1,0.054430799867241954,f1,0.5401065349578857,14.759641170501709,0.5401065349578857,14.759641170501709,1,True,57
39,KNeighborsDist_BAG_L1,0.05016722408026756,f1,0.2511115074157715,0.02626180648803711,0.2511115074157715,0.02626180648803711,1,True,2
40,LightGBM_r15_BAG_L1,0.04825737265415549,f1,0.3230862617492676,6.876682758331299,0.3230862617492676,6.876682758331299,1,True,50
41,LightGBM_r188_BAG_L1,0.043859649122807015,f1,0.2887840270996094,8.984622240066528,0.2887840270996094,8.984622240066528,1,True,27
42,CatBoost_r50_BAG_L1,0.04107744107744108,f1,0.06110715866088867,18.018261671066284,0.06110715866088867,18.018261671066284,1,True,33
43,KNeighborsUnif_BAG_L1,0.03932082216264522,f1,0.2589287757873535,0.021834373474121094,0.2589287757873535,0.021834373474121094,1,True,1
44,RandomForest_r195_BAG_L1,0.03680160588825694,f1,0.554473876953125,4.407387018203735,0.554473876953125,4.407387018203735,1,True,26
45,LightGBM_r94_BAG_L1,0.03352719808416011,f1,0.2001967430114746,4.782583475112915,0.2001967430114746,4.782583475112915,1,True,61
46,CatBoost_r70_BAG_L1,0.033220338983050844,f1,0.06886124610900879,33.94524931907654,0.06886124610900879,33.94524931907654,1,True,42
47,XGBoost_r33_BAG_L1,0.03137789904502047,f1,0.6313149929046631,23.854021787643433,0.6313149929046631,23.854021787643433,1,True,21
48,RandomForest_r39_BAG_L1,0.027683997299122215,f1,0.5294938087463379,4.365138053894043,0.5294938087463379,4.365138053894043,1,True,45
49,LightGBM_r131_BAG_L1,0.024071526822558458,f1,0.2559237480163574,9.104698896408081,0.2559237480163574,9.104698896408081,1,True,16
50,CatBoost_r137_BAG_L1,0.02399725745629071,f1,0.050135135650634766,28.564810752868652,0.050135135650634766,28.564810752868652,1,True,23
51,CatBoost_r49_BAG_L1,0.023989033584647018,f1,0.04760932922363281,5.353650331497192,0.04760932922363281,5.353650331497192,1,True,55
52,RandomForest_r127_BAG_L1,0.022510231923601638,f1,0.5308148860931396,4.975781202316284,0.5308148860931396,4.975781202316284,1,True,58
53,CatBoost_r5_BAG_L1,0.021970477171301066,f1,0.047774553298950195,4.858188152313232,0.047774553298950195,4.858188152313232,1,True,71
54,CatBoost_r9_BAG_L1,0.021955403087478557,f1,0.07740306854248047,60.53093099594116,0.07740306854248047,60.53093099594116,1,True,18
55,ExtraTrees_r42_BAG_L1,0.02053388090349076,f1,0.6283938884735107,1.620121955871582,0.6283938884735107,1.620121955871582,1,True,22
56,CatBoost_r69_BAG_L1,0.01991074493649159,f1,0.042020559310913086,25.326449632644653,0.042020559310913086,25.326449632644653,1,True,37
57,CatBoost_r143_BAG_L1,0.019337016574585635,f1,0.05125141143798828,6.840177059173584,0.05125141143798828,6.840177059173584,1,True,74
58,CatBoost_BAG_L1,0.01932367149758454,f1,0.04804730415344238,29.317586660385132,0.04804730415344238,29.317586660385132,1,True,7
59,CatBoost_r60_BAG_L1,0.01794960303762513,f1,0.046645164489746094,19.458296298980713,0.046645164489746094,19.458296298980713,1,True,80
60,CatBoost_r128_BAG_L1,0.017247326664367024,f1,0.06400942802429199,49.607778787612915,0.06400942802429199,49.607778787612915,1,True,63
61,ExtraTrees_r172_BAG_L1,0.0165346193592835,f1,0.5402910709381104,1.5872058868408203,0.5402910709381104,1.5872058868408203,1,True,36
62,CatBoost_r13_BAG_L1,0.015256588072122053,f1,0.060985565185546875,23.61999011039734,0.060985565185546875,23.61999011039734,1,True,25
63,CatBoost_r86_BAG_L1,0.014502762430939226,f1,0.04642319679260254,52.35034537315369,0.04642319679260254,52.35034537315369,1,True,52
64,CatBoost_r167_BAG_L1,0.013850415512465374,f1,0.05122184753417969,25.841341257095337,0.05122184753417969,25.841341257095337,1,True,46
65,CatBoost_r177_BAG_L1,0.013162452372705231,f1,0.054292917251586914,5.866898536682129,0.054292917251586914,5.866898536682129,1,True,14
66,ExtraTrees_r178_BAG_L1,0.013112491373360938,f1,0.5628621578216553,1.5006287097930908,0.5628621578216553,1.5006287097930908,1,True,75
67,LightGBM_r161_BAG_L1,0.011122697254084116,f1,0.3043482303619385,15.64075779914856,0.3043482303619385,15.64075779914856,1,True,40
68,ExtraTrees_r4_BAG_L1,0.0062827225130890054,f1,0.5496695041656494,1.3378791809082031,0.5496695041656494,1.3378791809082031,1,True,66
69,LightGBM_r30_BAG_L1,0.00350385423966363,f1,0.07671356201171875,5.447571039199829,0.07671356201171875,5.447571039199829,1,True,69
70,RandomForestEntr_BAG_L1,0.0028021015761821367,f1,0.592156171798706,1.2031428813934326,0.592156171798706,1.2031428813934326,1,True,6
71,RandomForest_r34_BAG_L1,0.0014020329477742728,f1,0.5231821537017822,2.9443933963775635,0.5231821537017822,2.9443933963775635,1,True,60
72,ExtraTreesGini_BAG_L1,0.001401541695865452,f1,0.5901381969451904,0.7763767242431641,0.5901381969451904,0.7763767242431641,1,True,8
73,ExtraTrees_r49_BAG_L1,0.001401541695865452,f1,0.6494348049163818,0.8580398559570312,0.6494348049163818,0.8580398559570312,1,True,56
74,RandomForestGini_BAG_L1,0.0014005602240896359,f1,0.5694096088409424,1.1090025901794434,0.5694096088409424,1.1090025901794434,1,True,5
75,ExtraTreesEntr_BAG_L1,0.000700770847932726,f1,0.5844933986663818,0.7362666130065918,0.5844933986663818,0.7362666130065918,1,True,9
76,LightGBM_r196_BAG_L1,0.0,f1,0.033040523529052734,3.0309150218963623,0.033040523529052734,3.0309150218963623,1,True,44
77,LightGBM_r96_BAG_L1,0.0,f1,0.03607606887817383,1.9873151779174805,0.03607606887817383,1.9873151779174805,1,True,19
78,XGBoost_r31_BAG_L1,0.0,f1,0.0915827751159668,2.794158458709717,0.0915827751159668,2.794158458709717,1,True,77
79,XGBoost_r98_BAG_L1,0.0,f1,0.1533222198486328,6.713171005249023,0.1533222198486328,6.713171005249023,1,True,49
80,RandomForest_r166_BAG_L1,0.0,f1,0.550588846206665,1.0770010948181152,0.550588846206665,1.0770010948181152,1,True,76
